sex,x,L,M,S
M,693,1,86.7353,0.03437
M,694,1,86.7645,0.03438
M,695,1,86.7937,0.03439
M,696,1,86.8228,0.0344
M,697,1,86.8519,0.03441
M,698,1,86.881,0.03442
M,699,1,86.9101,0.03443
M,700,1,86.9392,0.03445
M,701,1,86.9682,0.03446
M,702,1,86.9972,0.03447
M,703,1,87.0262,0.03448
M,704,1,87.0552,0.03449
M,705,1,87.0842,0.0345
M,706,1,87.1131,0.03451
M,707,1,87.142,0.03453
M,708,1,87.1709,0.03454
M,709,1,87.1998,0.03455
M,710,1,87.2287,0.03456
M,711,1,87.2575,0.03457
M,712,1,87.2863,0.03458
M,713,1,87.3151,0.03459
M,714,1,87.3439,0.03461
M,715,1,87.3727,0.03462
M,716,1,87.4014,0.03463
M,717,1,87.4302,0.03464
M,718,1,87.4589,0.03465
M,719,1,87.4876,0.03466
M,720,1,87.5162,0.03467
M,721,1,87.5449,0.03469
M,722,1,87.5735,0.0347
M,723,1,87.6021,0.03471
M,724,1,87.6307,0.03472
M,725,1,87.6593,0.03473
M,726,1,87.6878,0.03474
M,727,1,87.7164,0.03475
M,728,1,87.7449,0.03477
M,729,1,87.7734,0.03478
M,730,1,87.8018,0.03479
M,731,1,87.1303,0.03508
M,732,1,87.1587,0.03509
M,733,1,87.1871,0.0351
M,734,1,87.2155,0.03511
M,735,1,87.2439,0.03513
M,736,1,87.2722,0.03514
M,737,1,87.3006,0.03515
M,738,1,87.3289,0.03516
M,739,1,87.3571,0.03517
M,740,1,87.3854,0.03518
M,741,1,87.4136,0.03519
M,742,1,87.4419,0.03521
M,743,1,87.4701,0.03522
M,744,1,87.4982,0.03523
M,745,1,87.5264,0.03524
M,746,1,87.5545,0.03525
M,747,1,87.5826,0.03526
M,748,1,87.6107,0.03527
M,749,1,87.6388,0.03528
M,750,1,87.6668,0.0353
M,751,1,87.6948,0.03531
M,752,1,87.7228,0.03532
M,753,1,87.7508,0.03533
M,754,1,87.7788,0.03534
M,755,1,87.8067,0.03535
M,756,1,87.8346,0.03536
M,757,1,87.8625,0.03538
M,758,1,87.8903,0.03539
M,759,1,87.9181,0.0354
M,760,1,87.946,0.03541
M,761,1,87.9737,0.03542
M,762,1,88.0015,0.03543
M,763,1,88.0292,0.03544
M,764,1,88.057,0.03545
M,765,1,88.0846,0.03547
M,766,1,88.1123,0.03548
M,767,1,88.14,0.03549
M,768,1,88.1676,0.0355
M,769,1,88.1952,0.03551
M,770,1,88.2228,0.03552
M,771,1,88.2503,0.03553
M,772,1,88.2778,0.03555
M,773,1,88.3053,0.03556
M,774,1,88.3328,0.03557
M,775,1,88.3603,0.03558
M,776,1,88.3877,0.03559
M,777,1,88.4151,0.0356
M,778,1,88.4425,0.03561
M,779,1,88.4699,0.03562
M,780,1,88.4972,0.03564
M,781,1,88.5245,0.03565
M,782,1,88.5518,0.03566
M,783,1,88.5791,0.03567
M,784,1,88.6063,0.03568
M,785,1,88.6335,0.03569
M,786,1,88.6607,0.0357
M,787,1,88.6879,0.03571
M,788,1,88.715,0.03572
M,789,1,88.7422,0.03574
